gene_name	Mutated_Patients	Frequency	MeanExpression	MutationScore	ExpressionScore	DriverScore
TRPM6	35	0.0693069306930693	0.6788289209870069	0.14285714285714285	0.05448216567521516	0.10750715198437177
POGLUT2	10	0.0198019801980198	2.585214580646389	0.04081632653061224	0.20748687148444925	0.10748454451214705
GIMAP1	9	0.0178217821782178	2.6608921591403414	0.03673469387755098	0.21356068219276694	0.10746508920363737
ARSG	11	0.0217821782178217	2.5081002466540263	0.04489795918367331	0.20129774814185938	0.10745787476694775
BIVM	1	0.0019801980198019	3.270280286950133	0.00408163265306106	0.2624695956367741	0.10743681784654628
PLCH2	12	0.0237623762376237	2.4310736321960023	0.04897959183673457	0.19511566508593828	0.10743402113641605
SHISA2	5	0.0099009900990099	2.9649521782824735	0.02040816326530612	0.23796425108317934	0.1074305983924554
CCZ1	2	0.0039603960396039	3.1925724031924467	0.008163265306122325	0.2562328345526987	0.10739109300475287
ALG10	14	0.0277227722772277	2.2769330479026246	0.0571428571428571	0.18274448791432363	0.1073835094514437
NBPF3	4	0.0079207920792079	3.0396973050351366	0.016326530612244858	0.24396322409869628	0.10738120800682543
SYDE2	9	0.0178217821782178	2.657472909943922	0.03673469387755098	0.21328625649367722	0.10735531892400148
IGDCC4	17	0.0336633663366336	2.047111711954782	0.0693877551020407	0.16429924535953666	0.10735235120503908
ZFP3	3	0.0059405940594059	3.1150808837486244	0.012244897959183591	0.2500134386633428	0.10735231424084728
TMEM108	2	0.0039603960396039	3.1912280295763837	0.008163265306122325	0.2561249364007266	0.10734793374396404
APBA1	7	0.0138613861386138	2.8093377410336506	0.02857142857142845	0.2254747838705589	0.10733277069108063
DNAI4	14	0.0277227722772277	2.275349649067484	0.0571428571428571	0.1826174058248619	0.10733267661565904
CDON	6	0.0118811881188118	2.8854187027657106	0.024489795918367183	0.23158096973516368	0.10732626544508578
PRDM5	11	0.0217821782178217	2.5035698835894986	0.04489795918367331	0.20093414549704045	0.10731243370902017
DUSP2	2	0.0039603960396039	3.1899159075634578	0.008163265306122325	0.256019626731848	0.10730580987641261
ZNF461	7	0.0138613861386138	2.8083034032481358	0.02857142857142845	0.2253917689004356	0.10729956470303131
