Driver	Source
SHISA2	results/evidence/TP53/transcriptomics/DEGs.tsv
MMS22L	results/evidence/TP53/transcriptomics/DEGs.tsv
KLHL31	results/evidence/TP53/transcriptomics/DEGs.tsv
AC129507.2	results/evidence/TP53/transcriptomics/DEGs.tsv
PRR11	results/evidence/TP53/transcriptomics/DEGs.tsv
AQP5	results/evidence/TP53/transcriptomics/DEGs.tsv
TOPBP1	results/evidence/TP53/transcriptomics/DEGs.tsv
PRIM2	results/evidence/TP53/transcriptomics/DEGs.tsv
MEIOC	results/evidence/TP53/transcriptomics/DEGs.tsv
NDUFAF1	results/evidence/TP53/transcriptomics/DEGs.tsv
CHEK1	results/evidence/TP53/transcriptomics/DEGs.tsv
MSRA	results/evidence/TP53/transcriptomics/DEGs.tsv
GANC	results/evidence/TP53/transcriptomics/DEGs.tsv
FBXO5	results/evidence/TP53/transcriptomics/DEGs.tsv
SRD5A1	results/evidence/TP53/transcriptomics/DEGs.tsv
AC089983.1	results/evidence/TP53/transcriptomics/DEGs.tsv
ZNF107	results/evidence/TP53/transcriptomics/DEGs.tsv
IRX3	results/evidence/TP53/transcriptomics/DEGs.tsv
TACC2	results/evidence/TP53/transcriptomics/DEGs.tsv
CCNE1	results/evidence/TP53/transcriptomics/DEGs.tsv
CRY2	results/evidence/TP53/transcriptomics/DEGs.tsv
E2F2	results/evidence/TP53/transcriptomics/DEGs.tsv
LRRC27	results/evidence/TP53/transcriptomics/DEGs.tsv
ZNF695	results/evidence/TP53/transcriptomics/DEGs.tsv
PSPH	results/evidence/TP53/transcriptomics/DEGs.tsv
CCT6A	results/evidence/TP53/transcriptomics/DEGs.tsv
CD81	results/evidence/TP53/transcriptomics/DEGs.tsv
CENPA	results/evidence/TP53/transcriptomics/DEGs.tsv
CENPU	results/evidence/TP53/transcriptomics/DEGs.tsv
CDC45	results/evidence/TP53/transcriptomics/DEGs.tsv
ASF1B	results/evidence/TP53/transcriptomics/DEGs.tsv
MUC5AC	results/evidence/TP53/transcriptomics/DEGs.tsv
PFKFB4	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC00634	results/evidence/TP53/transcriptomics/DEGs.tsv
FANCB	results/evidence/TP53/transcriptomics/DEGs.tsv
NOSTRIN	results/evidence/TP53/transcriptomics/DEGs.tsv
LIMD1	results/evidence/TP53/transcriptomics/DEGs.tsv
SARAF	results/evidence/TP53/transcriptomics/DEGs.tsv
HMGCS2	results/evidence/TP53/transcriptomics/DEGs.tsv
HELLS	results/evidence/TP53/transcriptomics/DEGs.tsv
MCM10	results/evidence/TP53/transcriptomics/DEGs.tsv
RCC1	results/evidence/TP53/transcriptomics/DEGs.tsv
CEP83-DT	results/evidence/TP53/transcriptomics/DEGs.tsv
LHFPL3-AS2	results/evidence/TP53/transcriptomics/DEGs.tsv
CCNG1	results/evidence/TP53/transcriptomics/DEGs.tsv
C18orf54	results/evidence/TP53/transcriptomics/DEGs.tsv
MTMR10	results/evidence/TP53/transcriptomics/DEGs.tsv
AC012640.2	results/evidence/TP53/transcriptomics/DEGs.tsv
KLF2	results/evidence/TP53/transcriptomics/DEGs.tsv
CDC6	results/evidence/TP53/transcriptomics/DEGs.tsv
KIF15	results/evidence/TP53/transcriptomics/DEGs.tsv
DGKB	results/evidence/TP53/transcriptomics/DEGs.tsv
DUS4L	results/evidence/TP53/transcriptomics/DEGs.tsv
BTD	results/evidence/TP53/transcriptomics/DEGs.tsv
MAST1	results/evidence/TP53/transcriptomics/DEGs.tsv
MYO1A	results/evidence/TP53/transcriptomics/DEGs.tsv
KIF18B	results/evidence/TP53/transcriptomics/DEGs.tsv
CASTOR2	results/evidence/TP53/transcriptomics/DEGs.tsv
RFC2	results/evidence/TP53/transcriptomics/DEGs.tsv
AC006449.5	results/evidence/TP53/transcriptomics/DEGs.tsv
VAMP2	results/evidence/TP53/transcriptomics/DEGs.tsv
FCHO2	results/evidence/TP53/transcriptomics/DEGs.tsv
C9orf152	results/evidence/TP53/transcriptomics/DEGs.tsv
SHOX2	results/evidence/TP53/transcriptomics/DEGs.tsv
TMEM229A	results/evidence/TP53/transcriptomics/DEGs.tsv
CCT5	results/evidence/TP53/transcriptomics/DEGs.tsv
CNIH2	results/evidence/TP53/transcriptomics/DEGs.tsv
FBXO43	results/evidence/TP53/transcriptomics/DEGs.tsv
MIS18A	results/evidence/TP53/transcriptomics/DEGs.tsv
MRPS36	results/evidence/TP53/transcriptomics/DEGs.tsv
GNAI3	results/evidence/TP53/transcriptomics/DEGs.tsv
BFAR	results/evidence/TP53/transcriptomics/DEGs.tsv
KCNQ1	results/evidence/TP53/transcriptomics/DEGs.tsv
SOHLH2	results/evidence/TP53/transcriptomics/DEGs.tsv
NDC1	results/evidence/TP53/transcriptomics/DEGs.tsv
CLDN6	results/evidence/TP53/transcriptomics/DEGs.tsv
SPAG5	results/evidence/TP53/transcriptomics/DEGs.tsv
NAGPA-AS1	results/evidence/TP53/transcriptomics/DEGs.tsv
CSE1L	results/evidence/TP53/transcriptomics/DEGs.tsv
GATA6-AS1	results/evidence/TP53/transcriptomics/DEGs.tsv
ORC6	results/evidence/TP53/transcriptomics/DEGs.tsv
RRM2B	results/evidence/TP53/transcriptomics/DEGs.tsv
CEP57L1	results/evidence/TP53/transcriptomics/DEGs.tsv
MASTL	results/evidence/TP53/transcriptomics/DEGs.tsv
MCM7	results/evidence/TP53/transcriptomics/DEGs.tsv
SIKE1	results/evidence/TP53/transcriptomics/DEGs.tsv
PRMT8	results/evidence/TP53/transcriptomics/DEGs.tsv
HP	results/evidence/TP53/transcriptomics/DEGs.tsv
AC006452.1	results/evidence/TP53/transcriptomics/DEGs.tsv
ZNF131	results/evidence/TP53/transcriptomics/DEGs.tsv
