gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
5223	RREB1	protein_coding	3668.51203590379	-0.133183463256221	0.0497004964521055	-2.67972098396573	0.00736835495651461	0.018530996402412
20575	AC072061.1	lncRNA	32.7396821943654	0.186347997764196	0.0695514205415173	2.67928384946444	0.00737798206603373	0.0185532486716502
16185	RPL17P50	processed_pseudogene	54.771992440698	0.210571591145787	0.0785968027555352	2.67913685752258	0.00738122183610533	0.0185579544919584
18500	BCYRN1	scRNA	31.3096441616267	0.337947684341852	0.126142578444475	2.6790928844903	0.00738219126993877	0.0185579544919584
20651	CCDC187	protein_coding	167.690324867448	-0.426144863049122	0.159062086275267	-2.67911023316803	0.00738180878562712	0.0185579544919584
8919	TRIP12	protein_coding	8939.15293872143	0.113121791989498	0.042224915998995	2.67902941458048	0.00738359073527271	0.018559513380809
15281	CNOT7	protein_coding	3644.10898418866	-0.12689921323227	0.0473750289672096	-2.67860972328066	0.00739285061436753	0.0185808279187914
2920	TJP3	protein_coding	2256.1128927548	-0.230561062613195	0.0860764483973147	-2.67856152183421	0.00739391477591443	0.0185815414176473
16708	LINC01342	lncRNA	10.1755089205216	-0.485936934352689	0.1814575961237	-2.67796413450459	0.00740711493058669	0.0186127503383973
6278	ADCK2	protein_coding	1244.46412626425	0.143587918235874	0.0536193858439319	2.67791053507794	0.00740830032177251	0.0186137649148228
10323	SAP30	protein_coding	328.902211629114	0.17813611625975	0.0665214784664564	2.67787367879346	0.00740911552464435	0.01861384925666
2559	UGGT2	protein_coding	1117.75656229443	0.138598106515242	0.0517626055530121	2.67757206258287	0.00741578982356377	0.0186286517783067
10777	BTRC	protein_coding	1200.72044003142	-0.100159909115613	0.0374123554844216	-2.67718799895717	0.00742429636119941	0.0186480533219705
19071	WDR92	protein_coding	262.998998145251	0.105031323552323	0.0392413386356022	2.6765479263501	0.00743849263222566	0.0186817405129531
23527	AC146507.3	lncRNA	11.8942223632464	0.311908153421009	0.116546683538239	2.67625078596656	0.00744509122633208	0.0186963410802354
694	LY75	protein_coding	709.967065074773	0.226108221365652	0.0844985118103862	2.67588406613641	0.00745324220823126	0.018714836561242
20071	AP001922.6	lncRNA	9.03351105219689	-0.230545864808416	0.0861701205515286	-2.67547339301391	0.00746237962699283	0.0187358047904278
15769	LINC01446	lncRNA	45.7980632200264	1.00692008313575	0.376368068878643	2.67536001695304	0.00746490399728795	0.0187401669609335
17888	AJM1	protein_coding	243.781754843724	-0.230098993014527	0.0860119202488138	-2.67519888346756	0.00746849302634948	0.0187472006882562
4783	SMAD9	protein_coding	400.596009978571	-0.297134861605637	0.1110729189829	-2.67513327574817	0.00746995479226249	0.0187488936997195
5619	IFT22	protein_coding	993.943858465869	0.156347349834885	0.0584510640961654	2.6748418057481	0.00747645196151457	0.0187632234178004
14226	TEAD1	protein_coding	3935.48183312922	0.159601556181616	0.0596718205872553	2.67465538357822	0.00748061016225423	0.0187716807591067
6548	LMO2	protein_coding	542.086387424948	-0.184578544417024	0.0690223727537747	-2.67418428334065	0.00749112743439468	0.0187960919526578
3882	HARS2	protein_coding	1347.29779191605	-0.097563383299855	0.036487681321678	-2.67387183196787	0.00749811019608233	0.0188116304476933
4435	ARTN	protein_coding	115.272029114064	0.361734242531998	0.135313931174218	2.67329638118533	0.00751098582699157	0.0188419484340016
18975	ARPIN	protein_coding	2294.74460823362	-0.138330360759664	0.0517506752723258	-2.67301556997532	0.00751727613366787	0.0188557419261814
6127	KDM6B	protein_coding	2788.93109672382	-0.15633494596881	0.0584881896303375	-2.67293186807272	0.00751915201033551	0.0188584608714197
12923	COX14	protein_coding	1216.33334721944	-0.17874681516849	0.0668763158742351	-2.67279698099151	0.00752217590168737	0.0188640582269148
10942	NAB2	protein_coding	2031.95791902178	-0.183179895746592	0.0685442417076114	-2.67243303278459	0.00753034031412347	0.0188825444077642
11867	FGA	protein_coding	14978.1642648299	-0.743388035608185	0.278257506710768	-2.67158303973769	0.0075494390763603	0.0189284420051005
7697	CTTNBP2NL	protein_coding	1975.29049153165	0.126650114664636	0.0474103168704043	2.67136191075948	0.00755441480693958	0.0189389234879944
14245	MT1X	protein_coding	350.270470648261	0.315147969903327	0.117982484829403	2.67114199500898	0.00755936615404747	0.0189493416413144
9655	TAOK1	protein_coding	4366.52680688234	0.132365910838716	0.0495697332381755	2.67029701779343	0.00757841767906948	0.0189950993168467
22902	AC067930.5	TEC	22.4132587265639	0.22868860409225	0.0856452263305801	2.67018506331619	0.00758094512019637	0.0189994345498165
8081	CRHBP	protein_coding	10.6812276948405	-0.291781794995834	0.109287458921171	-2.66985615619716	0.00758837477237582	0.0190160535440764
15595	MUC21	protein_coding	4809.83314181954	0.555223857210067	0.20797231996518	2.66970074336348	0.00759188764877018	0.0190228548472026
4480	NENF	protein_coding	3115.93592943974	-0.181153499694625	0.0678652114017656	-2.66931312749012	0.00760065548348144	0.0190404320949855
18228	ATP5PDP4	processed_pseudogene	15.3348012145964	0.322458094492201	0.12080319015726	2.66928459482263	0.00760130124830046	0.0190404320949855
22780	AP001148.1	TEC	35.1869163936389	0.240891167406113	0.0902437842128788	2.66933805477247	0.00760009135769566	0.0190404320949855
23325	AC099344.3	lncRNA	7.01579046537778	-0.334310599515102	0.125267120449414	-2.66878170676962	0.00761269092415811	0.0190669564227915
15831	HCP5	lncRNA	3067.54203671649	0.226862945880326	0.0850231848383246	2.66824803507086	0.00762479453428145	0.0190952631232915
7023	IFI44	protein_coding	1908.37891138818	0.293292584225297	0.109922446724214	2.6681773647301	0.00762639862187781	0.0190972720064562
4737	CXorf21	protein_coding	193.291393631062	-0.230611825850513	0.0864481938229378	-2.66763035353693	0.00763882501251068	0.0191263777571159
3595	EXPH5	protein_coding	1489.123636998	0.226388825033014	0.0848743717564175	2.66734021528585	0.00764542341343035	0.019139549469275
14578	ZKSCAN3	protein_coding	341.449748091373	-0.157000665217846	0.0588614234803655	-2.66729304075049	0.00764649675193927	0.019139549469275
22862	AL158801.4	processed_pseudogene	26.3504890416893	0.205168615374129	0.0769199172799614	2.66730156023683	0.0076463029023525	0.019139549469275
734	IL17RB	protein_coding	455.2974670691	0.263495081180445	0.0987982161258525	2.66700241677234	0.00765311215300607	0.0191540948829939
3343	RECQL5	protein_coding	1672.37004991774	0.141467508470281	0.0530554336824368	2.66640942597952	0.00766662616906956	0.0191846297441249
3960	LIFR	protein_coding	3210.39531672984	0.260318580623637	0.0976293631860066	2.66639638043802	0.00766692371188529	0.0191846297441249
19647	ALG1L3P	unprocessed_pseudogene	11.5788668387499	0.657136459608301	0.246455700432664	2.66634717093039	0.00766804617589129	0.0191854225291737
19602	AC068580.4	protein_coding	49.3871186812412	0.325983003611816	0.122281909096637	2.66583181453437	0.00767981025582859	0.0192128376333966
11808	LRG1	protein_coding	2458.62549445907	-0.285554546717557	0.107129133120881	-2.66551719778548	0.00768699998579395	0.0192288043762287
15477	LRRC73	protein_coding	73.2407237037206	-0.300665080051504	0.112816551608697	-2.66507950973682	0.00769701221711563	0.0192518274276223
23764	AC104024.4	lncRNA	13.0370951429319	0.311571245572029	0.116919967732869	2.66482493635206	0.0077028410257666	0.0192643831324938
18813	RPL34P18	processed_pseudogene	7.53152695389515	-0.319846037022401	0.120029231190909	-2.66473453048848	0.00770491194433883	0.0192675389102683
10523	FZD6	protein_coding	2661.13899211194	0.182341673093099	0.068429961475205	2.66464673020704	0.00770692365468296	0.0192691692874523
21638	AC025165.4	lncRNA	11.2360704097262	0.301589992388972	0.113182459077522	2.66463544657927	0.00770718222318732	0.0192691692874523
9244	GHRL	protein_coding	34.4188727104537	-0.261468674462895	0.0981308385856435	-2.66449037052403	0.0077105073872988	0.0192740816374734
17590	AC092569.1	processed_pseudogene	16.0067353321003	0.399812563523924	0.150052805251885	2.66447910022596	0.00771076575796628	0.0192740816374734
12826	NECTIN3	protein_coding	834.111175695498	-0.324458729278386	0.121778359848877	-2.6643381441582	0.00771399781977689	0.0192801368681955
22349	AL121845.4	lncRNA	5.97723867840936	0.304081004716647	0.114134232192121	2.66424015719308	0.00771624533390044	0.0192837303370243
2418	WFDC2	protein_coding	18900.90498553	-0.327455774925523	0.122921778683041	-2.66393619124143	0.00772322109517335	0.0192991382120103
1920	HDAC6	protein_coding	2698.06961612476	0.13579295309251	0.0509758118548981	2.66387033675977	0.00772473314439763	0.0193008913126309
17592	LINC02812	lncRNA	6.35228451662961	-0.327085924222604	0.122795105590909	-2.66367232349054	0.00772928121842406	0.0193102290112831
23418	AC099661.1	lncRNA	24.7526006513939	0.233681092475093	0.0877311627449849	2.66360418765169	0.00773084675341536	0.0193121141913179
2043	MED15	protein_coding	5330.79255767816	0.137152831564221	0.0514922689618749	2.66356162447939	0.00773182485776103	0.019312531693174
57	HSPB6	protein_coding	90.4739030122633	-0.357154407220843	0.134129350404996	-2.66276102987478	0.00775024324349015	0.0193565068275275
12763	CCDC71	protein_coding	986.760519337327	-0.113761931560476	0.0427257071619956	-2.66261085227085	0.00775370258779074	0.0193631159213138
20009	STX16-NPEPL1	protein_coding	41.7088546736425	-0.325438445020535	0.122240795056	-2.66227362863148	0.00776147558369153	0.0193804948673619
1494	FAM135A	protein_coding	1096.11632562534	0.178900150924794	0.0672101502435365	2.6618025741134	0.0077723450664319	0.0194056013222908
5685	TPH1	protein_coding	36.1695778886441	0.359635074619498	0.135118499682721	2.66162720474234	0.00777639516014608	0.0194136779896969
423	HSF2	protein_coding	646.370035096622	0.120804856783245	0.045395236426754	2.66117915209375	0.00778675136666726	0.0194374944492468
10599	NOL6	protein_coding	3659.09914739809	0.139273317723667	0.0523373910683286	2.66106725766746	0.00778933960146761	0.0194415850118174
23361	AL162458.1	lncRNA	194.92273521296	0.237820814491685	0.0893714554503344	2.66103772500211	0.00779002285137994	0.0194415850118174
21998	AL109659.2	lncRNA	10.7893447781062	-0.370063886719689	0.13907167977867	-2.6609579125573	0.00779186961256762	0.0194441562353228
12295	CTSF	protein_coding	2389.13707310032	-0.216928209479789	0.081528582703417	-2.6607626710368	0.00779638891326826	0.0194518901410294
21030	MTCO1P40	processed_pseudogene	167.295096228565	0.484599018240739	0.18212849399804	2.66075344721157	0.00779660247737153	0.0194518901410294
12141	MRPL57	protein_coding	1934.34676677945	-0.161539682070198	0.0607134913081394	-2.66068840038099	0.00779810868985744	0.0194536099246035
8438	ADAM12	protein_coding	1393.25364920626	0.348148052669526	0.130867092280354	2.66031778198063	0.00780669563716905	0.0194729915055561
14103	KLHL32	protein_coding	61.9760875852212	-0.31328205533736	0.117771412019785	-2.66008575395811	0.00781207586159927	0.0194843710272439
23385	AC083855.2	lncRNA	198.155067021263	-0.179777262261591	0.0675848878965616	-2.66002160922039	0.00781356382436159	0.0194860413565134
12100	DMXL1	protein_coding	1452.02832046408	-0.141840864533557	0.0533256792055185	-2.65989794498254	0.00781643317508966	0.0194911559823649
11541	CTNND2	protein_coding	429.515552942234	-0.653340271765477	0.245637494029176	-2.65977421056036	0.00781930509907412	0.0194962759532354
17941	PTGES2-AS1	lncRNA	11.1463434323282	0.375290382938472	0.141126336200862	2.65925122866032	0.00783145415687104	0.0195245235858173
14855	ZNF300P1	transcribed_unprocessed_pseudogene	48.2520115374156	0.356725686704805	0.134152908557842	2.65909767100575	0.00783502456664676	0.0195296267529042
20327	AC008083.3	lncRNA	10.7906207175962	0.283801633072752	0.106728749270944	2.65909265321087	0.00783514126132725	0.0195296267529042
18966	EIF6	protein_coding	3281.82637110567	0.147258240296635	0.0553849871250797	2.65881149279807	0.00784168246354953	0.0195438855245388
17023	LINC01534	lncRNA	80.7968107034545	0.188480125964158	0.0709003402690416	2.65838111987817	0.00785170457325124	0.0195668158965472
20146	A2MP1	transcribed_unprocessed_pseudogene	11.2793515812562	0.364585897429228	0.137151968451534	2.65826222944851	0.00785447520094196	0.0195696246531944
22951	AC092964.1	TEC	8.73394127256763	0.358436211973135	0.134837121513794	2.65829029831719	0.00785382100385329	0.0195696246531944
2316	PCIF1	protein_coding	2311.6422351083	0.109285838375167	0.0411194271435526	2.65776655870321	0.0078660357728638	0.0195945251585634
11011	TBC1D2B	protein_coding	2405.41180893455	-0.147312961082312	0.0554274221525958	-2.65776316778269	0.00786611491206289	0.0195945251585634
18449	AC099336.2	processed_pseudogene	140.102026667679	-0.229943777176536	0.0865220923581703	-2.65763079589721	0.00786920483856163	0.0196001719512087
494	GABARAPL2	protein_coding	3563.56762015647	-0.131898823116614	0.0496358241851371	-2.65733117726914	0.00787620278331431	0.0196155504164241
14924	DACT3	protein_coding	286.463708487498	-0.229663266764014	0.0864311378767356	-2.6571820342288	0.00787968827167398	0.0196201271959059
22464	TRBV14	TR_V_gene	7.32716731492509	-0.357640466489309	0.13459312127902	-2.65719721105135	0.0078793335246194	0.0196201271959059
18767	LINC00888	transcribed_unprocessed_pseudogene	273.454169555383	0.192616435042365	0.0724899956155774	2.65714507783711	0.00788055215995795	0.0196202267785927
17976	ERVH48-1	protein_coding	80.9284207773595	0.611207939300521	0.230030567610988	2.65707269102667	0.00788224451139274	0.0196223887512342
2406	CDK5RAP1	protein_coding	1483.56365851591	0.11343549605628	0.0427015111071278	2.6564749844964	0.00789623090548442	0.0196551523762105
3705	TPI1	protein_coding	27443.8682472137	0.172814823509821	0.0650577755052106	2.65632850443802	0.00789966194347876	0.019659582978577
16096	CCDC183	protein_coding	38.6412621599059	-0.222050434399954	0.0835926407135188	-2.65633951152405	0.00789940407543516	0.019659582978577
20167	RPL41P2	processed_pseudogene	53.7037593772295	-0.295118422621864	0.111122514606086	-2.65579323567342	0.00791221103195312	0.0196887558531799
23618	AC112254.1	lncRNA	6.86076680681262	-0.422244687322292	0.159001517652597	-2.65560161661386	0.00791670777597136	0.0196978872612038
6563	TESPA1	protein_coding	200.494783153435	-0.249584442980646	0.0940278278597214	-2.65436784685697	0.00794571563146635	0.0197679974976744
7790	DYRK3	protein_coding	980.033130891827	-0.200213022327082	0.075440256051388	-2.65392819174291	0.00795607559202482	0.0197917041834826
15777	CYP2D7	polymorphic_pseudogene	57.1607167915448	0.303563512564233	0.114389528361732	2.65377012137229	0.00795980329156573	0.0197989090855804
14216	EMID1	protein_coding	529.125869372569	0.247760042049437	0.0933934834404896	2.65286220111182	0.00798124465838218	0.0198501681769935
8219	AGBL3	protein_coding	120.404657843416	0.190634488625068	0.0718658547868071	2.65264344507684	0.00798641850791791	0.0198609618157432
17161	AC098935.1	processed_pseudogene	13.7808027737204	-0.26084148273563	0.0983350766565961	-2.65257822136587	0.00798796171010544	0.0198612068087634
18988	AC022415.1	transcribed_processed_pseudogene	25.531762074369	0.222080410441898	0.0837227716343732	2.65256878274107	0.00798818505141244	0.0198612068087634
16541	AL355802.1	processed_pseudogene	36.3810206145508	-0.182232401786198	0.0687051354319801	-2.6523839977961	0.00799255864868388	0.0198700064369723
1552	HAL	protein_coding	566.487869580094	-0.460921132770259	0.173796234900702	-2.65207777966884	0.00799981111802425	0.0198859605391054
6613	MPHOSPH6	protein_coding	713.994648257076	0.140045971972879	0.0528089312339159	2.65193725191197	0.00800314134927928	0.0198921624143343
22428	AC018695.6	lncRNA	7.42142149279372	0.451306797574216	0.170184215165039	2.65187224994135	0.00800468218790597	0.0198939158445828
14057	GRK1	protein_coding	32.1098289333027	-0.576317986773289	0.217330563665748	-2.6518036720305	0.00800630808032589	0.0198958802697361
9236	B3GNT7	protein_coding	4789.87600004558	0.351012955119349	0.132373183775667	2.6516923224738	0.00800894866231307	0.0199003655513693
15488	C2orf72	protein_coding	278.496007203771	-0.49097500959752	0.185158447868981	-2.65164790074789	0.00801000231210543	0.0199009071528929
4080	PLCH1	protein_coding	1408.01816636879	-0.247870357132091	0.093507555408493	-2.65080566002667	0.00803000312606274	0.0199485180934757
8135	FAM193B	protein_coding	1719.91040420673	-0.187920280877854	0.0709034496914149	-2.6503686590105	0.00804039826275076	0.0199722587075359
14424	CERKL	protein_coding	132.662856168487	-0.380843879755851	0.143717394031875	-2.64994980128421	0.0080503731237294	0.019994950518199
12914	CCDC185	protein_coding	19.8207836863733	0.465777670592772	0.175783470061668	2.64972394975119	0.00805575624720068	0.0200062341506765
12853	MAMDC4	protein_coding	425.325982414052	-0.296262135895809	0.111810650080205	-2.64967725063124	0.00805686971282146	0.020006912965707
9601	NDUFV3	protein_coding	1904.02155116729	-0.107545917353196	0.0406051415975493	-2.64857880361848	0.00808310018912677	0.0200699559903936
16295	VAC14-AS1	lncRNA	29.2617185786007	0.376185661349845	0.142046485927385	2.64832782658314	0.00808910413935701	0.0200820152469308
23112	AC019226.1	TEC	8.02128027526208	0.324725451446217	0.122616321195635	2.64830528497195	0.00808964358208647	0.0200820152469308
22992	GATD3B	protein_coding	51.3989113177464	-0.232246726200571	0.0876985027243475	-2.64824049425981	0.0080911942662996	0.0200837711337981
22240	AC006480.2	lncRNA	23.7372762763723	0.262984242157284	0.0993283970574666	2.64762394187368	0.00810596399191579	0.0201183352270435
1270	ARHGAP15	protein_coding	461.238371607515	-0.223603566883074	0.0844720913449792	-2.64707033202113	0.00811924646686993	0.0201471017361718
15860	MIR635	miRNA	25.034711953054	0.173055135752233	0.0653752712735409	2.64710390306668	0.00811844045958689	0.0201471017361718
12416	ASPHD1	protein_coding	557.632053031217	0.385161311149075	0.145518661688577	2.64681729944271	0.00812532383136308	0.020160081446143
10388	ERAP1	protein_coding	3362.06782248213	-0.166806893944651	0.0630270132075067	-2.64659366604387	0.00813069847247797	0.0201713150769445
10015	ACTG2	protein_coding	827.617278665875	-0.325898780878386	0.123152762748398	-2.6462969535178	0.0081378343556602	0.0201854768675249
12792	SLC25A22	protein_coding	1627.0341537388	0.161158085928871	0.0608997472583303	2.64628497135226	0.00813812264232136	0.0201854768675249
22451	AL031670.1	lncRNA	26.8871222469833	0.240868063313041	0.0910223935693421	2.64625059688795	0.00813894973049358	0.0201854768675249
1349	ACER3	protein_coding	1498.26852751952	0.126250229394324	0.0477158126569785	2.64587821865085	0.00814791439210764	0.0202035020130832
14377	FAM166A	protein_coding	8.8466687003295	0.479102997322779	0.18107378465207	2.64589928488747	0.00814740700619556	0.0202035020130832
17542	PDC-AS1	lncRNA	31.3758122897653	0.286882765045775	0.108471403623679	2.64477784431611	0.00817445655332584	0.0202672054514213
14437	SRSF10	protein_coding	4895.30605321899	0.0844052268352677	0.0319151364032978	2.64467698864499	0.00817689316299246	0.0202711361423592
4389	KMO	protein_coding	168.507343596271	0.24862578688981	0.0940330461622038	2.64402565945741	0.0081926445270706	0.0203017311933048
9257	C8A	protein_coding	24.2588916096264	-0.671007218055225	0.253778252128812	-2.64406903438927	0.00819159472973839	0.0203017311933048
14282	ZNF385C	protein_coding	121.43960144284	0.244052340939003	0.0922998823961706	2.64412407256901	0.0081902628217691	0.0203017311933048
17893	SLC16A6P1	transcribed_unprocessed_pseudogene	7.29250736248968	0.320810679556799	0.121333344912274	2.64404380995802	0.00819220521842585	0.0203017311933048
