id	filename
55b4491c-b3b1-4d28-bd3e-e7fdf6ccb4c5	ddf9889b-9391-4905-876c-ae739de2fc1b.wxs.aliquot_ensemble_masked.maf.gz
fde996d6-190e-4084-9b51-ab8b9e9ceea6	f4899380-8783-4cdb-93fb-862e8f9ff402.wxs.aliquot_ensemble_masked.maf.gz
7372ac4c-0221-4164-9dee-e772286dfae3	c7428d58-9e53-472c-8389-a812480e0686.wxs.aliquot_ensemble_masked.maf.gz
ce22aa4c-5954-4e6a-aeaa-416839ee9376	93ea1822-8a18-4c09-a0ab-e74225938a59.wxs.aliquot_ensemble_masked.maf.gz
101c7666-42ea-45d9-8288-16a3cbd47274	1a47b275-62bc-42a1-8543-65caaacf5ed3.wxs.aliquot_ensemble_masked.maf.gz
8416388e-8a30-441d-b14b-bfcec4daf78a	455d27a7-9bca-4f47-86ce-38afccfe9ab5.wxs.aliquot_ensemble_masked.maf.gz
b4d95448-280a-432c-adc2-c04dfd8944a2	a1957b5d-d45b-4556-9352-3af184e725f2.wxs.aliquot_ensemble_masked.maf.gz
28b17e7d-8b8b-42c4-acc7-9397f52c1773	4da39cd3-7acc-4cc1-b877-1220d09f0bdb.wxs.aliquot_ensemble_masked.maf.gz
683d979f-0ced-4839-b61b-c26f065c1da6	f099efdd-6021-4afd-9748-733e5056c0a4.wxs.aliquot_ensemble_masked.maf.gz
b7950351-3e23-423f-b59d-4a3a0d411fa9	55899746-38e3-4a9c-87c2-dac4de6b693e.wxs.aliquot_ensemble_masked.maf.gz
663280fe-02ec-4470-b033-3f45b7364c6a	67691429-74f6-40fb-9c68-f408138b1dad.wxs.aliquot_ensemble_masked.maf.gz
1140a1ab-bec5-4884-bf42-ec7eb80756dd	6b7a0b2a-d183-4ea9-a938-3542e279457e.wxs.aliquot_ensemble_masked.maf.gz
009254a2-ea81-4c76-8044-7267a9f81364	dcc71d2d-9707-4234-a3e7-49b9cf977250.wxs.aliquot_ensemble_masked.maf.gz
bc70453f-1898-4235-95d2-bb163a09d767	150f8a17-f186-4f5f-8368-824ff22f2ebd.wxs.aliquot_ensemble_masked.maf.gz
6621a8f6-e61c-4c68-b042-eac761721381	98fb39e9-baa9-45eb-9024-8066f648fa65.wxs.aliquot_ensemble_masked.maf.gz
897fa266-afac-4ab7-90d0-5046444486fc	2b2866bb-5427-439d-b155-37542e596c48.wxs.aliquot_ensemble_masked.maf.gz
ef78dde5-6e3d-45f9-ae5c-59b2ccdd867d	6c850269-c292-4b95-a22a-3e6cb8e54b18.wxs.aliquot_ensemble_masked.maf.gz
d9c46dd7-be43-4e5a-b1d0-c7279d6b6d54	b0f91091-0153-488d-85b7-4544a0e22c1f.wxs.aliquot_ensemble_masked.maf.gz
c85e7461-3613-4c69-bf55-aa8e8fe191ad	ae8bbb73-9bc2-4347-a7f5-8e57de1668ef.wxs.aliquot_ensemble_masked.maf.gz
84bd7d30-18aa-4178-99ff-717360005681	5fe6f1f9-2825-47e1-84cd-6e45a6b34d9c.wxs.aliquot_ensemble_masked.maf.gz
470b8e24-fe52-48ef-a2ff-dccc721d7a8b	17aa2bf6-e83b-4a21-895b-af624c4da749.wxs.aliquot_ensemble_masked.maf.gz
c2d5187b-f6a7-47c9-b9b8-fd99d5879d1a	f6aba9b1-3310-4e09-b3c4-4b336740596b.wxs.aliquot_ensemble_masked.maf.gz
b6b0bda5-6719-4a69-a6b1-725815bfc49f	959dd170-dc8a-4167-894b-a6ab117f8d9d.wxs.aliquot_ensemble_masked.maf.gz
c7910d9c-92e7-4992-b68f-6a35a93ff6b7	f2cfacbc-a824-4568-89db-6aca0d06af74.wxs.aliquot_ensemble_masked.maf.gz
9f710d18-73e3-4576-8397-345d60eaa9e5	ae3ab4b5-d0a4-473d-8e34-d4ca663cd27a.wxs.aliquot_ensemble_masked.maf.gz
6228cd71-8166-4c66-baee-187e38153782	50473d0b-6103-4da0-a6aa-348d65f991f7.wxs.aliquot_ensemble_masked.maf.gz
69adb489-727b-4be4-afd8-86ac2f5c51dc	685a6b26-e270-4683-aebe-611c946a3dba.wxs.aliquot_ensemble_masked.maf.gz
be733141-d5f0-4e24-b512-2eaa9786d6ee	df1cc429-8eca-449c-83c4-8f0d69613bd1.wxs.aliquot_ensemble_masked.maf.gz
8a0ad5f7-749a-487d-952a-603ec1a5de50	e4345630-2e05-4fa2-9009-164fa62c4c4f.wxs.aliquot_ensemble_masked.maf.gz
ad4ea433-b13d-4e71-b2ce-892f9fe33414	123c7e5a-f6d5-45a9-99c6-cde57849ebab.wxs.aliquot_ensemble_masked.maf.gz
3050678f-ea4a-419a-9553-ade8d2411e88	1146eae8-cf57-410f-9637-7e404ebcc274.wxs.aliquot_ensemble_masked.maf.gz
88431233-111a-4901-b746-4a6d25f54c95	4e0e8e8d-425d-4046-a4c1-0ae04f7adff0.wxs.aliquot_ensemble_masked.maf.gz
6867f860-8669-4788-a3e3-f4e22380986f	fe36c53b-029a-473c-9277-aa9663cb020e.wxs.aliquot_ensemble_masked.maf.gz
56ee7c04-78c2-4484-bbff-7bca5056a4e3	2f2bb436-47e8-4f0e-840f-13073e79be16.wxs.aliquot_ensemble_masked.maf.gz
fd460fa4-1c27-4f4f-ba40-6e0bc0857bd5	07bbadef-2815-4742-a5d4-ec8af2b9610f.wxs.aliquot_ensemble_masked.maf.gz
32b00d18-e064-44d7-ada0-78ff1a8160b7	80e03a98-f4e8-42a8-9b6e-5b502222690b.wxs.aliquot_ensemble_masked.maf.gz
879297cc-5afe-48aa-9a38-e8b1c6fe0a32	d30c9651-0eee-4446-aa6f-5dbbb1c3cab4.wxs.aliquot_ensemble_masked.maf.gz
b7e50c64-0f35-4c1f-82cd-140b64b0b4b8	a34b1b60-ae5a-46a4-b0a2-f6d2366e4f9b.wxs.aliquot_ensemble_masked.maf.gz
cbb774df-457d-4346-83fd-c4222929906e	de3d8411-e578-4519-8785-2d0794a1dcad.wxs.aliquot_ensemble_masked.maf.gz
e07a5517-ab7e-4367-971b-7719c3273a1c	b342cdbc-5af1-4ed9-baf3-d7c129ee75a7.wxs.aliquot_ensemble_masked.maf.gz
31bf0f34-6f72-450f-8aef-72107c21af1a	43284a2d-bc4f-4ef1-b2f8-591652897c4e.wxs.aliquot_ensemble_masked.maf.gz
ca656ad9-cb41-490a-9f6e-3b308b640a94	241a7084-76d4-4e1d-83cf-b119b2d12cf4.wxs.aliquot_ensemble_masked.maf.gz
cce0f20b-ae33-43f3-9b5c-583d02611eea	70e49dda-c41a-492b-b841-ef3155c006a5.wxs.aliquot_ensemble_masked.maf.gz
99f5aa40-a043-420d-9ec8-9f7f1a420376	6c61a0df-1228-4052-b28c-38c44e3d4e60.wxs.aliquot_ensemble_masked.maf.gz
05ac6fda-3c72-44c9-99c0-2b466ef1c2ab	bad7aa24-1d36-4d5e-8766-34578be3d624.wxs.aliquot_ensemble_masked.maf.gz
ab6c6851-eef1-409a-9de6-d566cbfd31a1	09a2b0ba-0978-48ff-aede-a989eafb7275.wxs.aliquot_ensemble_masked.maf.gz
