file_id,file_name,file_size,workflow,patient_count
0ecdd76a-4131-4abb-a91e-add0e37e7e1a,135d87f4-2943-4e79-aaac-0693b2eeeb8e.wxs.aliquot_ensemble_masked.maf.gz,87881,Aliquot Ensemble Somatic Variant Merging and Masking,1
374e13e1-98a8-4b65-94da-0d78ae51df5a,14826ad4-fe64-4f31-bb3e-8e2d57ad7f5f.wxs.aliquot_ensemble_masked.maf.gz,245502,Aliquot Ensemble Somatic Variant Merging and Masking,1
7d7063a3-af4b-48bf-b6ac-d1221d7ca1d4,148d11f3-a276-4c00-a261-767cf195309c.wxs.aliquot_ensemble_masked.maf.gz,141122,Aliquot Ensemble Somatic Variant Merging and Masking,1
826ebf4e-af4e-426f-a779-e69d366a104c,14f8f26a-727c-44dc-8f37-f5d1d4378e04.wxs.aliquot_ensemble_masked.maf.gz,2272,Aliquot Ensemble Somatic Variant Merging and Masking,1
bc70453f-1898-4235-95d2-bb163a09d767,150f8a17-f186-4f5f-8368-824ff22f2ebd.wxs.aliquot_ensemble_masked.maf.gz,81757,Aliquot Ensemble Somatic Variant Merging and Masking,1
3c34b137-098b-4e76-9ed1-52e1be916fd0,15b7e9b4-d91b-4922-8716-823254743be6.wxs.aliquot_ensemble_masked.maf.gz,62282,Aliquot Ensemble Somatic Variant Merging and Masking,1
0e9ceaa9-c20f-45a1-a55e-7ef515c0b15d,15daffdc-dd31-4527-abc8-0e62168e0ebd.wxs.aliquot_ensemble_masked.maf.gz,74206,Aliquot Ensemble Somatic Variant Merging and Masking,1
54549144-9502-409c-bb87-d8eedff5c343,15efa039-1f99-4271-b297-4e1f789f14ff.wxs.aliquot_ensemble_masked.maf.gz,115360,Aliquot Ensemble Somatic Variant Merging and Masking,1
3d39851c-b7e3-4b8e-a3ea-da1a307eb6fe,16aa8b2b-9ec5-4a55-8c41-45245a48e055.wxs.aliquot_ensemble_masked.maf.gz,100668,Aliquot Ensemble Somatic Variant Merging and Masking,1
cc63c449-f591-4f97-9b72-4f52a103c464,170e2745-2ad5-4403-9065-5a96121454f8.wxs.aliquot_ensemble_masked.maf.gz,225403,Aliquot Ensemble Somatic Variant Merging and Masking,1
470b8e24-fe52-48ef-a2ff-dccc721d7a8b,17aa2bf6-e83b-4a21-895b-af624c4da749.wxs.aliquot_ensemble_masked.maf.gz,98793,Aliquot Ensemble Somatic Variant Merging and Masking,1
d7718619-286f-47ec-9b8c-430fb1a01383,18aded85-5a36-47dd-b6aa-04161318df0c.wxs.aliquot_ensemble_masked.maf.gz,673801,Aliquot Ensemble Somatic Variant Merging and Masking,1
aa1fcf91-1c88-4aba-9180-18195cbaec6e,18e07a6f-9c1f-474e-92d9-47c426f715b5.wxs.aliquot_ensemble_masked.maf.gz,112242,Aliquot Ensemble Somatic Variant Merging and Masking,1
a37b6c13-f8e1-4cfb-916d-72eb2d117c03,18ec59c0-c051-4c4d-8829-d978f1242741.wxs.aliquot_ensemble_masked.maf.gz,15591,Aliquot Ensemble Somatic Variant Merging and Masking,1
72c46029-bf04-4eda-a7ea-cc7242253294,19aa1736-30b3-4ed9-b827-373a79b8de70.wxs.aliquot_ensemble_masked.maf.gz,29301,Aliquot Ensemble Somatic Variant Merging and Masking,1
101c7666-42ea-45d9-8288-16a3cbd47274,1a47b275-62bc-42a1-8543-65caaacf5ed3.wxs.aliquot_ensemble_masked.maf.gz,76014,Aliquot Ensemble Somatic Variant Merging and Masking,1
a75577ce-cb7c-4f0f-8244-42289449dcc9,1a8a2fa5-eff6-4e2d-8113-67b75e4d8134.wxs.aliquot_ensemble_masked.maf.gz,81940,Aliquot Ensemble Somatic Variant Merging and Masking,1
308349b2-11c8-4cf8-bd42-c7f7ec2667a3,1af3a5e1-1558-49b0-b946-2ed353f93fa2.wxs.aliquot_ensemble_masked.maf.gz,111077,Aliquot Ensemble Somatic Variant Merging and Masking,1
85b4f6c7-6bc7-4faa-b579-174c8a5574c3,1b02e400-814b-4cee-a05c-fa6e31441b84.wxs.aliquot_ensemble_masked.maf.gz,14944,Aliquot Ensemble Somatic Variant Merging and Masking,1
1f2ff351-e12c-4493-ae70-ba531a83c479,1c0621b6-795f-4a9c-9e69-efaf9e7ca72c.wxs.aliquot_ensemble_masked.maf.gz,20526,Aliquot Ensemble Somatic Variant Merging and Masking,1
085615ac-a63a-4092-81c6-7763dfc548a0,1c198ca7-c422-4ea5-928c-77f28fe14eeb.wxs.aliquot_ensemble_masked.maf.gz,45968,Aliquot Ensemble Somatic Variant Merging and Masking,1
683b789b-dd99-4358-abb1-d345ddaf7cbb,1ca71ae5-bad9-4142-b00e-d9f74250bb62.wxs.aliquot_ensemble_masked.maf.gz,12010,Aliquot Ensemble Somatic Variant Merging and Masking,1
cebdaf8a-6798-4827-8b07-07c74cf7d4e1,1cc37bd7-7f9c-4cb9-8e9f-90f0a7f8de08.wxs.aliquot_ensemble_masked.maf.gz,24003,Aliquot Ensemble Somatic Variant Merging and Masking,1
8a6d9946-9ac1-4924-9d24-f8a7e0fbcf72,1d2d325a-9f06-4f14-9ed1-db7e3f203117.wxs.aliquot_ensemble_masked.maf.gz,235407,Aliquot Ensemble Somatic Variant Merging and Masking,1
e83b9578-ff82-4210-9468-64c792876884,1d5f2b7e-98c9-4bd1-b139-fd1a21747056.wxs.aliquot_ensemble_masked.maf.gz,128054,Aliquot Ensemble Somatic Variant Merging and Masking,1
