STRING_id	Gene	Degree	Betweenness	Closeness	Eigenvector	PageRank	CompositeScore
9606.ENSP00000445381	PIK3C2G	2	0	1	4.19565716083415e-18	0.00280072818932827	3.01645230084368
9606.ENSP00000004531	SLC7A2	2	0	1	4.77263190682533e-18	0.00280072818932827	3.01645230084368
9606.ENSP00000366402	C9orf135	2	0	1	2.89940630168076e-18	0.00280072818932827	3.01645230084368
9606.ENSP00000272602	CNGA3	2	0	1	4.34285358330827e-18	0.00280072818932827	3.01645230084368
9606.ENSP00000239316	INSL4	2	0	1	4.11365024281757e-18	0.00280072818932827	3.01645230084368
9606.ENSP00000296694	SCGB3A2	22	0.000684390446189814	0.277873070325901	0.18635950460285	0.00391842165991698	3.00418078697156
9606.ENSP00000357905	DMBT1	18	0.00196325016017636	0.323676323676324	0.218922983885038	0.00324466762147121	2.99990902890377
9606.ENSP00000346251	BPIFA1	18	0.0119796840112535	0.273648648648649	0.142778261118216	0.00392333433449893	2.93920963366755
9606.ENSP00000473093	MAGEA3	16	0.0201845732261114	0.314868804664723	0.0883229340580288	0.00372474191466895	2.91271081403043
9606.ENSP00000291527	TFF1	20	0.00716352080106965	0.275276125743415	0.132523575542748	0.00426458628221668	2.8694584085507
9606.ENSP00000361298	KIF2C	18	0.0197525125052812	0.272727272727273	0.0202564687401834	0.00506795958478443	2.77904984851012
9606.ENSP00000417222	CPB1	14	0.014685558927823	0.313649564375605	0.143962275579834	0.00325209958980903	2.68617889769325
9606.ENSP00000346158	REG4	20	0.00500245604591519	0.285966460723742	0.131565233126224	0.00394748234423443	2.62898294398401
9606.ENSP00000445675	PRAME	20	0.0125651537567838	0.267768595041322	0.0253678595376156	0.00528159082721514	2.60469658533462
9606.ENSP00000499683	SFTPB	20	0.000995645210819756	0.281494352736751	0.166059706239406	0.00357878907307003	2.50337150125769
9606.ENSP00000342850	SERPINA6	14	1.72801814388682e-05	0.313649564375605	0.253775629354666	0.00261314161317941	2.49585064490737
9606.ENSP00000359077	L1CAM	14	0.0142709932638767	0.322388059701493	0.0948264595835529	0.00360462894030423	2.39018884120722
9606.ENSP00000381133	FGL1	14	0.00701182538391841	0.310642377756472	0.150035832861253	0.00355131092691276	2.35997285247731
9606.ENSP00000260302	MMP13	14	0.00816244428750745	0.320792079207921	0.142103324786315	0.00329036750823545	2.29405891447906
9606.ENSP00000393392	MYO1A	12	0.0248106422141094	0.291105121293801	0.0305872317315901	0.00381325119113937	2.18883941154894
9606.ENSP00000477829	LHX1	18	0.0111358432027718	0.267326732673267	0.0145442482489434	0.00520764514451314	2.18386028601739
9606.ENSP00000342235	ERBB4	18	0.0117763910752084	0.289027653880464	0.0410127536600388	0.00423104649051099	2.15386441349583
9606.ENSP00000317997	DUOX1	14	0.00675811621020475	0.328600405679513	0.115227834508076	0.00337105837194197	2.01857929644927
9606.ENSP00000338157	ZBTB16	14	0.0170365926135332	0.282722513089005	0.0296281401820941	0.00423202237034987	1.99232786940883
9606.ENSP00000373691	DUOX2	14	0.00717611828760299	0.325301204819277	0.106647749075985	0.00343029524037347	1.97005873806237
9606.ENSP00000217026	MYBL2	16	0.0163721377877657	0.274111675126904	0.01883081613237	0.00420822515022761	1.96036904775604
9606.ENSP00000372313	MSLN	12	0.0096427670291138	0.326612903225806	0.136966825828819	0.00275179535367042	1.93992557474511
9606.ENSP00000362116	PGC	18	0.00195537662515383	0.28125	0.119108734899291	0.00344995583434535	1.8588094036194
9606.ENSP00000166345	TRIP13	16	0.0173065850463157	0.233766233766234	0.00381570189253343	0.00466888557813835	1.8548090098882
9606.ENSP00000341045	UGT2B15	14	0.00600048362556367	0.313346228239845	0.113028419130989	0.00331747338326864	1.83143888965556
9606.ENSP00000285379	CA2	10	0.0137630893134256	0.320158102766798	0.0884666034949707	0.00339684258025656	1.81997612638163
9606.ENSP00000296589	SLC45A2	12	0.00802100554432362	0.314563106796116	0.106205116417395	0.00342662823884858	1.77603340919535
9606.ENSP00000295731	IHH	16	0.00950824825401212	0.261290322580645	0.0314690946748453	0.00461850772775186	1.74794042408772
9606.ENSP00000270349	SLC6A3	14	0.00404249618594234	0.327272727272727	0.117895290970308	0.00311887704755434	1.73725604095551
9606.ENSP00000217407	LBP	12	0.00184655400543178	0.315175097276265	0.187097992178001	0.00240584051270775	1.68701468439632
9606.ENSP00000354778	CNTNAP2	16	0.0115796571547965	0.266009852216749	0.0285614658604795	0.00419160081163462	1.68257216519887
9606.ENSP00000260653	SIX3	16	0.00821257742322785	0.268211920529801	0.0180391451672622	0.00463906291368122	1.57917062425664
9606.ENSP00000352035	KCNQ2	16	0.00594076162189282	0.284710017574692	0.0507543077272647	0.00394076737015926	1.51851656156619
9606.ENSP00000361400	SFTPA2	16	2.88367571665669e-05	0.266447368421053	0.145418336306156	0.00287313421995367	1.45027810156467
9606.ENSP00000336571	CLDN2	16	0.00256348180795816	0.285714285714286	0.0931586569648256	0.00326984893451757	1.40223740550267
9606.ENSP00000479113	GABRG3	18	0.00375296889371487	0.27022518765638	0.0222659140174356	0.00424128190895884	1.32903938261538
9606.ENSP00000294312	FGF19	12	0.0051685313919667	0.321747765640516	0.100491220781478	0.00289276390468279	1.31930008694065
9606.ENSP00000290552	IRX6	16	0.00610602033237625	0.261501210653753	0.00957947736573484	0.00464414465494632	1.31828821236838
9606.ENSP00000233997	AZU1	14	0.00043336722162651	0.27	0.14766365557343	0.00276670163120198	1.28890774968157
9606.ENSP00000329292	GKN2	16	0.000886868650554263	0.272957034540859	0.107762323353002	0.00307156839392739	1.26657799640372
9606.ENSP00000319814	PCK1	12	0.00327201828143824	0.311239193083574	0.0927049557254879	0.00316281329751645	1.18214678528878
9606.ENSP00000497642	LPL	10	0.00529949820982586	0.310642377756472	0.105973024502281	0.00290329581642174	1.14103304083865
9606.ENSP00000170150	BPIFB2	10	0.00603978036377736	0.320158102766798	0.118990648717785	0.00232005285119365	1.09904359388498
9606.ENSP00000362717	LHX2	14	0.00722736147741999	0.256938937351308	0.0122124697344281	0.00439697256123328	1.09414120642329
9606.ENSP00000337733	KLK5	14	0.00511137648101007	0.266666666666667	0.0479425349756783	0.00366298798664486	1.01704124716867
9606.ENSP00000358931	TKTL1	12	0.00843874733478882	0.26977518734388	0.0385394106553653	0.0037037164103462	1.00171991574441
9606.ENSP00000370483	NLGN4X	14	0.00376186996769522	0.271356783919598	0.0586279787877937	0.00343162312952301	0.951173663183583
9606.ENSP00000346659	OCA2	10	0.0052632895128569	0.315789473684211	0.105125620032541	0.00242772627212532	0.935393219028156
9606.ENSP00000245255	PIWIL1	8	0.0166809425397398	0.258785942492013	0.00852965888541011	0.0039233101787302	0.929983892287426
9606.ENSP00000377284	FOLR1	10	0.000572669990115735	0.318897637795276	0.142128345394117	0.00223784730732455	0.918311361251967
9606.ENSP00000312286	PLA2G1B	14	0.000729371457954394	0.276214833759591	0.0942497490324714	0.00293945192386825	0.897890813224759
9606.ENSP00000388850	PNMA5	2	0	0.666666666666667	2.72452331440898e-18	0.00215731765935005	0.753651762959755
9606.ENSP00000290722	PGLYRP3	2	0	0.666666666666667	5.19489170706293e-18	0.00215731765934682	0.75365176295823
9606.ENSP00000259470	CTSV	12	0.00674326822041346	0.277634961439589	0.0389992396032223	0.00330876026333455	0.752774959151506
9606.ENSP00000005226	USH1C	12	0.00663231924807778	0.244343891402715	0.0064812036627688	0.00416055841295738	0.630922474466989
9606.ENSP00000423313	GALNTL6	12	0.00143946460696017	0.27318718381113	0.106072672435638	0.00244766563080667	0.630650628584051
9606.ENSP00000221307	CYP4F3	14	0.000379192327638889	0.260240963855422	0.0690894681801795	0.00304087289614582	0.579591758627608
9606.ENSP00000384957	F11	8	0	0.30945558739255	0.15987600665385	0.00171008847059811	0.569733608271764
9606.ENSP00000262138	CACNG4	14	0.00276098945557862	0.267326732673267	0.0270523212492488	0.0034280068687371	0.546526264694596
9606.ENSP00000455906	MUC22	12	0.000976677396316679	0.268434134217067	0.10692042958121	0.00236455874335459	0.541014665165901
9606.ENSP00000293894	SOX8	12	0.00569143470867651	0.254117647058824	0.00720618933706239	0.00393358098754784	0.525529129032184
9606.ENSP00000368771	MUC3A	12	7.64261039048406e-06	0.269326683291771	0.112388092742074	0.00231662477167254	0.513279476235852
9606.ENSP00000349085	MAGEA1	14	0.00350192443215699	0.247517188693659	0.0116440905666167	0.00369102602655686	0.451310139113756
9606.ENSP00000301218	GRIK5	14	0.000778650998890082	0.263414634146341	0.0337407017945427	0.0032570021583879	0.377022341818625
