Gene	STRING_id	Degree	Betweenness	Closeness	Eigenvector	PageRank	CompositeScore	Rank	Percentile
CTSV	9606.ENSP00000259470	12	0.00674326822041346	0.277634961439589	0.0389992396032223	0.00330876026333455	0.752774959151506	122	0.281395
USH1C	9606.ENSP00000005226	12	0.00663231924807778	0.244343891402715	0.0064812036627688	0.00416055841295738	0.630922474466989	123	0.283721
GALNTL6	9606.ENSP00000423313	12	0.00143946460696017	0.27318718381113	0.106072672435638	0.00244766563080667	0.630650628584051	124	0.286047
CYP4F3	9606.ENSP00000221307	14	0.000379192327638889	0.260240963855422	0.0690894681801795	0.00304087289614582	0.579591758627608	125	0.288372
F11	9606.ENSP00000384957	8	0	0.30945558739255	0.15987600665385	0.00171008847059811	0.569733608271764	126	0.290698
CACNG4	9606.ENSP00000262138	14	0.00276098945557862	0.267326732673267	0.0270523212492488	0.0034280068687371	0.546526264694596	127	0.293023
MUC22	9606.ENSP00000455906	12	0.000976677396316679	0.268434134217067	0.10692042958121	0.00236455874335459	0.541014665165901	128	0.295349
SOX8	9606.ENSP00000293894	12	0.00569143470867651	0.254117647058824	0.00720618933706239	0.00393358098754784	0.525529129032184	129	0.297674
MUC3A	9606.ENSP00000368771	12	7.64261039048406e-06	0.269326683291771	0.112388092742074	0.00231662477167254	0.513279476235852	130	0.3
MAGEA1	9606.ENSP00000349085	14	0.00350192443215699	0.247517188693659	0.0116440905666167	0.00369102602655686	0.451310139113756	131	0.302326
GRIK5	9606.ENSP00000301218	14	0.000778650998890082	0.263414634146341	0.0337407017945427	0.0032570021583879	0.377022341818625	132	0.304651
SPINK1	9606.ENSP00000296695	12	0.000950915047111439	0.275042444821732	0.0706650108868886	0.00263621794544026	0.347648829044456	133	0.306977
TTK	9606.ENSP00000358813	14	0.0023627757174039	0.231593995711222	0.00381873342876926	0.00395333449428007	0.328660194696838	134	0.309302
SMC1B	9606.ENSP00000350036	10	0.0115815009293715	0.192972007147111	0.000284221089490551	0.0038518603625721	0.269760001288482	135	0.311628
SERPINA4	9606.ENSP00000451172	8	0.0003261557550381	0.309160305343511	0.120039630359062	0.00183543110093053	0.254500366980546	136	0.313953
PITX2	9606.ENSP00000495061	12	0.00563311224112225	0.231263383297645	0.00311367957399385	0.00371990447097404	0.245726784028398	137	0.316279
ALDH3A1	9606.ENSP00000411821	12	0.0035519648310346	0.243060765191298	0.0357117836602568	0.00312899539357548	0.219800803034501	138	0.318605
CDH8	9606.ENSP00000462701	10	0.00937600224499311	0.227208976157083	0.00252962970269949	0.00357336199920572	0.21466174136699	139	0.32093
PAEP	9606.ENSP00000417898	10	0.00489280618921108	0.261079774375504	0.0539217649966487	0.00269041256325602	0.206584049966433	140	0.323256
RBFOX1	9606.ENSP00000391269	12	0.00424523764498307	0.242696629213483	0.0159706665307254	0.00341616816519889	0.204175948827005	141	0.325581
NEFH	9606.ENSP00000311997	8	0.000668973658971424	0.315789473684211	0.0949566173772719	0.00198541209706852	0.138822607096815	142	0.327907
